Date,AAPL,JPM,MS,NVDA
2025-05-05,198.40435791015625,250.1330108642578,118.05611419677734,113.80567932128906
2025-05-06,198.02528381347656,246.8548126220703,116.8025131225586,113.52571868896484
2025-05-07,195.7707977294922,246.99346923828125,117.56256866455078,117.04527282714844
2025-05-08,197.00778198242188,251.03427124023438,120.30667877197266,117.35523986816406
2025-05-09,198.0452423095703,250.6480255126953,120.1290054321289,116.63532257080078
2025-05-12,210.55104064941406,257.551025390625,125.41981506347656,122.98452758789062
2025-05-13,212.68861389160156,260.48260498046875,127.68025970458984,129.9136505126953
2025-05-14,212.08929443359375,263.08734130859375,129.3484344482422,135.32296752929688
2025-05-15,211.21029663085938,264.9195251464844,130.79945373535156,134.8130340576172
2025-05-16,211.0205078125,264.9888610839844,130.4737091064453,135.38296508789062
2025-05-19,208.54331970214844,262.3346252441406,129.15101623535156,135.55294799804688
2025-05-20,206.62550354003906,263.1269226074219,127.46310424804688,134.36309814453125
2025-05-21,201.86090087890625,258.5315246582031,123.68254089355469,131.78341674804688
2025-05-22,201.13172912597656,258.16510009765625,124.6301498413086,132.81329345703125
2025-05-23,195.04864501953125,258.2046813964844,124.44259643554688,131.2734832763672
2025-05-27,199.98304748535156,262.7406921386719,127.54206085205078,135.48294067382812
2025-05-28,200.1927947998047,260.9579772949219,125.86400604248047,134.7930450439453
2025-05-29,199.72332763671875,261.82952880859375,126.505615234375,139.17250061035156
2025-05-30,200.622314453125,261.46307373046875,126.3772964477539,135.11300659179688
2025-06-02,201.47134399414062,262.1167297363281,126.74250793457031,137.3627166748047
2025-06-03,203.03956604003906,263.71124267578125,127.0188980102539,141.2022247314453
2025-06-04,202.590087890625,261.68096923828125,126.505615234375,141.9021453857422
2025-06-05,200.40257263183594,259.43280029296875,128.93385314941406,139.97239685058594
2025-06-06,203.68882751464844,263.17645263671875,130.11837768554688,141.70216369628906
2025-06-09,201.2216339111328,264.1767272949219,130.24668884277344,142.612060546875
2025-06-10,202.44024658203125,266.0188903808594,130.11837768554688,143.94189453125
2025-06-11,198.55465698242188,265.5732116699219,130.10850524902344,142.8219451904297
2025-06-12,198.97418212890625,265.6623229980469,130.21707153320312,144.9918212890625
2025-06-13,196.227294921875,262.4039306640625,127.8184585571289,141.9619903564453
2025-06-16,198.195068359375,267.7619323730469,129.21023559570312,144.6818389892578
2025-06-17,195.418212890625,266.92999267578125,128.4106903076172,144.1118621826172
2025-06-18,196.35714721679688,271.3273620605469,130.80934143066406,145.47178649902344
2025-06-20,200.7721405029297,272.35736083984375,130.99688720703125,143.84188842773438
2025-06-23,201.27157592773438,275.595947265625,132.27023315429688,144.161865234375
2025-06-24,200.07293701171875,278.5572204589844,134.14569091796875,147.8916473388672
2025-06-25,201.33151245117188,281.3302917480469,135.9422149658203,154.30130004882812
2025-06-26,200.7721405029297,285.9752197265625,137.94601440429688,155.01126098632812
2025-06-27,200.85205078125,284.3509826660156,138.87388610839844,157.74110412597656
2025-06-30,204.93740844726562,287.12408447265625,139.04168701171875,157.98109436035156
2025-07-01,207.58441162109375,287.6192626953125,139.2489776611328,153.29136657714844
2025-07-02,212.1991729736328,289.19403076171875,141.01585388183594,157.2411346435547
2025-07-03,213.30792236328125,294.56787109375,142.2793426513672,159.3310089111328
2025-07-07,209.7119903564453,290.557373046875,141.88449096679688,158.2310791015625
2025-07-08,209.7719268798828,281.4118347167969,139.30819702148438,159.99098205566406
2025-07-09,210.90065002441406,281.7900085449219,139.7227783203125,162.87081909179688
2025-07-10,212.16920471191406,286.7956848144531,141.2428741455078,164.09075927734375
2025-07-11,210.92062377929688,285.4720764160156,140.44334411621094,164.91070556640625
2025-07-14,208.3834991455078,287.30322265625,142.11154174804688,164.06076049804688
2025-07-15,208.87295532226562,285.1636047363281,139.7622528076172,170.69036865234375
2025-07-16,209.92176818847656,284.4371337890625,137.98548889160156,171.36033630371094
2025-07-17,209.78192138671875,288.4974060058594,139.08116149902344,172.99024963378906
2025-07-18,210.9405975341797,289.8607482910156,139.01205444335938,172.40028381347656
2025-07-21,212.23912048339844,289.5622253417969,138.65670776367188,171.37034606933594
2025-07-22,214.15695190429688,290.0199890136719,138.2322540283203,167.0205841064453
2025-07-23,213.9072265625,295.32421875,140.37425231933594,170.77037048339844
2025-07-24,213.51766967773438,295.1152038574219,140.66050720214844,173.73020935058594
2025-07-25,213.63754272460938,297.1752014160156,141.16392517089844,173.49021911621094
2025-07-28,213.80735778808594,296.83685302734375,140.7197265625,176.7400360107422
2025-07-29,211.03050231933594,295.6028747558594,141.70681762695312,175.50009155273438
2025-07-30,208.81301879882812,298.1803283691406,143.0690155029297,179.25990295410156
2025-07-31,207.33470153808594,294.80670166015625,141.5979766845703,177.85997009277344
2025-08-01,202.1505889892578,287.969970703125,138.24835205078125,173.710205078125
2025-08-04,203.11949157714844,292.8363037109375,140.50462341308594,179.98985290527344
2025-08-05,202.68995666503906,289.96026611328125,139.61007690429688,178.24993896484375
2025-08-06,213.0082550048828,289.9403991699219,140.4449920654297,179.40988159179688
2025-08-07,219.7805633544922,285.5517272949219,140.06727600097656,180.7598114013672
2025-08-08,229.0900115966797,287.3629150390625,142.3135986328125,182.689697265625
2025-08-11,227.17999267578125,288.1590270996094,143.00938415527344,182.0497283935547
2025-08-12,229.64999389648438,291.4331359863281,146.3987274169922,183.14967346191406
2025-08-13,233.3300018310547,289.1243591308594,146.8658905029297,181.5797576904297
2025-08-14,232.77999877929688,292.7367858886719,147.61135864257812,182.00973510742188
2025-08-15,231.58999633789062,289.08453369140625,143.7548370361328,180.4398193359375
2025-08-18,230.88999938964844,290.1195068359375,143.9039306640625,181.99972534179688
2025-08-19,230.55999755859375,289.25372314453125,143.19822692871094,175.63009643554688
2025-08-20,226.00999450683594,290.8260803222656,143.24790954589844,175.39010620117188
2025-08-21,224.89999389648438,290.059814453125,143.16839599609375,174.97012329101562
2025-08-22,227.75999450683594,294.80670166015625,147.12432861328125,177.97996520996094
2025-08-25,227.16000366210938,293.47320556640625,146.75656127929688,179.79986572265625
2025-08-26,229.30999755859375,297.1254577636719,148.06857299804688,181.75975036621094
2025-08-27,230.49000549316406,297.8320007324219,148.47608947753906,181.5897674560547
2025-08-28,232.55999755859375,299.6133728027344,149.271240234375,180.1598358154297
2025-08-29,232.13999938964844,299.961669921875,149.56942749023438,174.170166015625
2025-09-02,229.72000122070312,298.25,147.94931030273438,170.77037048339844
2025-09-03,238.47000122070312,298.0609130859375,147.63124084472656,170.61038208007812
2025-09-04,239.77999877929688,302.3500671386719,149.61912536621094,171.65032958984375
2025-09-05,239.69000244140625,292.9557189941406,147.1938934326172,167.01058959960938
2025-09-08,237.8800048828125,291.4928283691406,147.8896484375,168.30050659179688
2025-09-09,234.35000610351562,296.408935546875,151.2989044189453,170.7503662109375
2025-09-10,226.7899932861328,299.0859375,153.18740844726562,177.32000732421875
2025-09-11,230.02999877929688,304.0816345214844,155.5331268310547,177.1699981689453
2025-09-12,234.07000732421875,305.42510986328125,155.4436798095703,177.82000732421875
2025-09-15,236.6999969482422,307.40545654296875,155.69215393066406,177.75
2025-09-16,238.14999389648438,307.6940612792969,154.8671875,174.8800048828125
2025-09-17,238.99000549316406,310.2416687011719,156.45750427246094,170.2899932861328
2025-09-18,237.8800048828125,311.71453857421875,158.27642822265625,176.24000549316406
2025-09-19,245.5,313.25701904296875,158.9423828125,176.6699981689453
2025-09-22,256.0799865722656,310.9283447265625,159.73753356933594,183.61000061035156
2025-09-23,254.42999267578125,311.22686767578125,159.7872314453125,178.42999267578125
2025-09-24,252.30999755859375,311.90362548828125,156.92466735839844,176.97000122070312
2025-09-25,256.8699951171875,311.9334716796875,157.98817443847656,177.69000244140625
2025-09-26,255.4600067138672,314.53082275390625,159.1411590576172,178.19000244140625
2025-09-29,254.42999267578125,314.1626281738281,160.184814453125,181.85000610351562
2025-09-30,254.6300048828125,313.90386962890625,157.9981231689453,186.5800018310547
2025-10-01,255.4499969482422,309.2066955566406,155.94064331054688,187.24000549316406
2025-10-02,257.1300048828125,306.0619812011719,154.3602752685547,188.88999938964844
2025-10-03,258.0199890136719,308.5299987792969,156.63641357421875,187.6199951171875
2025-10-06,256.69000244140625,309.17999267578125,157.1333770751953,185.5399932861328
2025-10-07,256.4800109863281,307.69000244140625,155.02621459960938,185.0399932861328
2025-10-08,258.05999755859375,304.0299987792969,154.70814514160156,189.11000061035156
2025-10-09,254.0399932861328,305.5299987792969,155.32440185546875,192.57000732421875
2025-10-10,245.27000427246094,300.8900146484375,150.9410858154297,183.16000366210938
2025-10-13,247.66000366210938,307.9700012207031,154.19129943847656,188.32000732421875
2025-10-14,247.77000427246094,302.0799865722656,154.4000244140625,180.02999877929688
2025-10-15,249.33999633789062,305.69000244140625,161.66578674316406,179.8300018310547
2025-10-16,247.4499969482422,298.5400085449219,159.0517120361328,181.80999755859375
2025-10-17,252.2899932861328,297.55999755859375,157.70986938476562,183.22000122070312
2025-10-20,262.239990234375,302.3599853515625,160.9899139404297,182.63999938964844
2025-10-21,262.7699890136719,297.0899963378906,158.2664794921875,181.16000366210938
2025-10-22,258.45001220703125,294.1099853515625,157.1632080078125,180.27999877929688
2025-10-23,259.5799865722656,294.5400085449219,158.34600830078125,182.16000366210938
2025-10-24,262.82000732421875,300.44000244140625,162.86846923828125,186.25999450683594
2025-10-27,268.80999755859375,304.1499938964844,165.01541137695312,191.49000549316406
2025-10-28,269.0,305.3599853515625,164.21031188964844,201.02999877929688
2025-10-29,269.70001220703125,305.510009765625,163.03744506835938,207.0399932861328
2025-10-30,271.3999938964844,309.44000244140625,164.25999450683594,202.88999938964844
2025-10-31,270.3699951171875,311.1199951171875,164.0,202.49000549316406
2025-11-03,269.04998779296875,309.3500061035156,163.64999389648438,206.8800048828125
2025-11-04,270.0400085449219,309.25,164.00999450683594,198.69000244140625
